name,r,g,b,class_11
Animal,64,128,64,0
Archway,192,0,128,0
Bicyclist,0,128, 192,1
Bridge,0, 128, 64,0
Building,128, 0, 0,1
Car,64, 0, 128,1
CartLuggagePram,64, 0, 192,0
Child,192, 128, 64,0
Column_Pole,192, 192, 128,1
Fence,64, 64, 128,1
LaneMkgsDriv,128, 0, 192,0
LaneMkgsNonDriv,192, 0, 64,0
Misc_Text,128, 128, 64,0
MotorcycleScooter,192, 0, 192,0
OtherMoving,128, 64, 64,0
ParkingBlock,64, 192, 128,0
Pedestrian,64, 64, 0,1
Road,128, 64, 128,1
RoadShoulder,128, 128, 192,0
Sidewalk,0, 0, 192,1
SignSymbol,192, 128, 128,1
Sky,128, 128, 128,1
SUVPickupTruck,64, 128,192,0
TrafficCone,0, 0, 64,0
TrafficLight,0, 64, 64,0
Train,192, 64, 128,0
Tree,128, 128, 0,1
Truck_Bus,192, 128, 192,0
Tunnel,64, 0, 64,0
VegetationMisc,192, 192, 0,0
Void,0, 0, 0,0
Wall,64, 192, 0,0
